provider;provider_country_name;provider_country_iso3;host_country_name;host_country_iso3;region_name;location;az_number;launch_year;source;;;;
Google Cloud;United States of America;USA;Qatar;QAT;me-central1 (Doha);Doha;1;2023;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;India;IND;asia-south1 (Mumbai);Mumbai;1;2017;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;India;IND;asia-south2 (Delhi);Delhi;1;2021;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Indonesia;IDN;asia-southeast2 (Jakarta);Jakarta;1;2020;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Singapore;SGP;asia-southeast1 (Singapore);Singapore;1;2017;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Hong Kong;HKG;asia-east2 (Hong Kong);Hong Kong;1;2018;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Taiwan;TWN;asia-east1 (Taiwan);Taiwan;1;2013;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Korea, Republic of;KOR;asia-northeast3 (Seoul);Seoul;1;2020;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Japan;JPN;asia-northeast2 (Osaka);Osaka;1;2019;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Japan;JPN;asia-northeast1 (Tokyo);Tokyo;1;2016;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Australia ;AUS;australia-southeast2 (Melbourne);Melbourne;1;2021;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Australia;AUS;australia-southeast1 (Sydney);Sydney;1;2017;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Malaysia;MYS;Kuala Lumpur;Kuala Lumpur;1;NA;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Thailand;THA;Bangkok;Bangkok;1;NA;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;USA;USA;Phoenix;Phoenix;1;NA;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Alibaba Cloud;China;CHN;China;CHN;Qingdao;Qingdao;2;2012;https://www.alibabacloud.com/en/global-locations?_p_lc=1;;;;
Alibaba Cloud;China;CHN;China;CHN;Beijing;Beijing;12;2013;https://www.alibabacloud.com/en/global-locations?_p_lc=2;;;;
Alibaba Cloud;China;CHN;China;CHN;Zhangjiakou;Zhangjiakou;3;2014;https://www.alibabacloud.com/en/global-locations?_p_lc=3;;;;
Alibaba Cloud;China;CHN;China;CHN;Hohhot;Hohhot;2;2017;https://www.alibabacloud.com/en/global-locations?_p_lc=4;;;;
Alibaba Cloud;China;CHN;China;CHN;Ulanqab;Ulanqab;3;2020;https://www.alibabacloud.com/en/global-locations?_p_lc=5;;;;
Alibaba Cloud;China;CHN;China;CHN;Hangzhou;Hangzhou;8;2011;https://www.alibabacloud.com/en/global-locations?_p_lc=6;;;;
Alibaba Cloud;China;CHN;China;CHN;Shanghai;Shanghai;12;2015;https://www.alibabacloud.com/en/global-locations?_p_lc=7;;;;
Alibaba Cloud;China;CHN;China;CHN;Najing;Najing;1;2021;https://www.alibabacloud.com/en/global-locations?_p_lc=8;;;;
Alibaba Cloud;China;CHN;China;CHN;Shenzhen;Shenzhen;6;2014;https://www.alibabacloud.com/en/global-locations?_p_lc=9;;;;
Alibaba Cloud;China;CHN;China;CHN;Heyuan;Heyuan;2;2020;https://www.alibabacloud.com/en/global-locations?_p_lc=10;;;;
Alibaba Cloud;China;CHN;China;CHN;Guangzhou;Guangzhou;2;2020;https://www.alibabacloud.com/en/global-locations?_p_lc=11;;;;
Alibaba Cloud;China;CHN;China;CHN;Chengdu;Chengdu;2;2020;https://www.alibabacloud.com/en/global-locations?_p_lc=12;;;;
Alibaba Cloud;China;CHN;China;CHN;Fuzhou;Fuzhou;1;2022;https://www.alibabacloud.com/en/global-locations?_p_lc=13;;;;
Alibaba Cloud;China;CHN;China;CHN;Wuhan;Wuhan;1;2023;https://www.alibabacloud.com/en/global-locations?_p_lc=14;;;;
Alibaba Cloud;China;CHN;Singapore;SGP;Singapore;Singapore;3;2015;https://www.alibabacloud.com/en/global-locations?_p_lc=15;;;;
Alibaba Cloud;China;CHN;Thailand;THA;Bangkok;Bangkok;2;2022;https://www.alibabacloud.com/en/global-locations?_p_lc=16;;;;
Alibaba Cloud;China;CHN;Malaysia;MYS;Kuala Lumpur;Kuala Lumpur;3;2017;https://www.alibabacloud.com/en/global-locations?_p_lc=17;;;;
Alibaba Cloud;China;CHN;Indonesia;IDN;Jakarta;Jakarta;3;2018;https://www.alibabacloud.com/en/global-locations?_p_lc=18;;;;
Alibaba Cloud;China;CHN;Phillipines;PHL;Manila;Manila;2;2021;https://www.alibabacloud.com/en/global-locations?_p_lc=19;;;;
Alibaba Cloud;China;CHN;Japan;JPN;Tokyo;Tokyo;3;2016;https://www.alibabacloud.com/en/global-locations?_p_lc=20;;;;
Alibaba Cloud;China;CHN;Korea, Republic of;KOR;Seoul;Seoul;2;2022;https://www.alibabacloud.com/en/global-locations?_p_lc=21;;;;
