"from","to","weight","year"
"USA","MEX",8189.650843,2020
"USA","MEX",6942.00111,2021
"USA","MEX",7779.935522,2022
"USA","MEX",7702.787377,2023
"VNM","MEX",2574.686048,2023
"MYS","NLD",2530.464352,2017
"MYS","NLD",2552.078957,2018
"MYS","NLD",2571.28671,2019
"MYS","NLD",2282.286721,2020
"MYS","NLD",1541.073014,2021
"MYS","SGP",881.728004,2017
"MYS","SGP",974.638303,2018
"MYS","SGP",1001.580741,2019
"MYS","SGP",1855.443017,2020
"MYS","SGP",3621.841885,2021
"MYS","SGP",2856.198266,2022
"MYS","SGP",2114.910652,2023
"MYS","USA",5998.264065,2017
"MYS","USA",7203.147475,2018
"MYS","USA",8351.395384,2019
"MYS","USA",7965.32025,2020
"MYS","USA",9643.264824,2021
"MYS","USA",4971.237881,2022
"MYS","USA",3178.396715,2023
"VNM","MYS",1124.639826,2017
"MYS","VNM",1252.033587,2021
"MYS","VNM",1038.911874,2022
"MYS","VNM",3228.381566,2023
"NLD","POL",935.38453,2017
"NLD","POL",906.51811,2018
"NLD","POL",1213.275328,2019
"NLD","POL",1591.217424,2020
"NLD","POL",1641.360451,2021
"VNM","NLD",1537.858446,2017
"VNM","NLD",668.26218,2018
"VNM","NLD",774.717552,2019
"VNM","NLD",976.966726,2020
"PHL","SGP",1128.902239,2022
"SGP","VNM",4782.943896,2023
"VNM","USA",825.200781,2017
"VNM","USA",1238.973392,2023
