"surplus_country_iso3","surplus_country_name","deficit_country_iso3","deficit_country_name","trade_value","year","total_trade_year"
"MYS","Malaysia","CHN","China",4338.695963,2019,250856.902919
"MYS","Malaysia","CHN","China",4338.695963,2019,250856.902919
"MYS","Malaysia","CHN","China",4591.636704,2020,283355.494495001
"MYS","Malaysia","CHN","China",4591.636704,2020,283355.494495001
"MYS","Malaysia","CHN","China",3837.598445,2021,348477.224363999
"MYS","Malaysia","CHN","China",3837.598445,2021,348477.224363999
"MYS","Malaysia","CHN","China",7506.452974,2022,383431.321529001
"MYS","Malaysia","CHN","China",7506.452974,2022,383431.321529001
"MYS","Malaysia","CHN","China",7920.213895,2023,363459.883593
"MYS","Malaysia","CHN","China",7920.213895,2023,363459.883593
"PHL","Philippines","CHN","China",2260.78162,2017,224809.547288
"PHL","Philippines","CHN","China",2260.78162,2017,224809.547288
"PHL","Philippines","CHN","China",2456.840026,2018,239270.915695
"PHL","Philippines","CHN","China",2456.840026,2018,239270.915695
"PHL","Philippines","CHN","China",1908.249253,2019,250856.902919
"PHL","Philippines","CHN","China",1908.249253,2019,250856.902919
"PHL","Philippines","CHN","China",1916.709504,2020,283355.494495001
"PHL","Philippines","CHN","China",1916.709504,2020,283355.494495001
"PHL","Philippines","CHN","China",2451.886408,2021,348477.224363999
"PHL","Philippines","CHN","China",2451.886408,2021,348477.224363999
"PHL","Philippines","CHN","China",2654.356408,2022,383431.321529001
"PHL","Philippines","CHN","China",2654.356408,2022,383431.321529001
"PHL","Philippines","CHN","China",2295.640306,2023,363459.883593
"PHL","Philippines","CHN","China",2295.640306,2023,363459.883593
"SGP","Singapore","CHN","China",1311.134271,2019,250856.902919
"SGP","Singapore","CHN","China",1311.134271,2019,250856.902919
"USA","USA","CHN","China",3096.205499,2017,224809.547288
"USA","USA","CHN","China",3096.205499,2017,224809.547288
"USA","USA","CHN","China",3603.922224,2018,239270.915695
"USA","USA","CHN","China",3603.922224,2018,239270.915695
"USA","USA","CHN","China",6542.02465,2019,250856.902919
"USA","USA","CHN","China",6542.02465,2019,250856.902919
"USA","USA","CHN","China",7758.216638,2020,283355.494495001
"USA","USA","CHN","China",7758.216638,2020,283355.494495001
"USA","USA","CHN","China",8831.937723,2021,348477.224363999
"USA","USA","CHN","China",8831.937723,2021,348477.224363999
"USA","USA","CHN","China",5649.52566,2022,383431.321529001
"USA","USA","CHN","China",5649.52566,2022,383431.321529001
"USA","USA","CHN","China",1914.360202,2023,363459.883593
"USA","USA","CHN","China",1914.360202,2023,363459.883593
"VNM","Viet Nam","CHN","China",2442.632709,2017,224809.547288
"VNM","Viet Nam","CHN","China",2442.632709,2017,224809.547288
"VNM","Viet Nam","CHN","China",1841.81323,2018,239270.915695
"VNM","Viet Nam","CHN","China",1841.81323,2018,239270.915695
"VNM","Viet Nam","CHN","China",2466.408931,2019,250856.902919
"VNM","Viet Nam","CHN","China",2466.408931,2019,250856.902919
"VNM","Viet Nam","CHN","China",4208.200456,2020,283355.494495001
"VNM","Viet Nam","CHN","China",4208.200456,2020,283355.494495001
"VNM","Viet Nam","CHN","China",4362.289934,2021,348477.224363999
"VNM","Viet Nam","CHN","China",4362.289934,2021,348477.224363999
"VNM","Viet Nam","CHN","China",4669.708644,2022,383431.321529001
"VNM","Viet Nam","CHN","China",4669.708644,2022,383431.321529001
"VNM","Viet Nam","CHN","China",8865.603163,2023,363459.883593
"VNM","Viet Nam","CHN","China",8865.603163,2023,363459.883593
"HKG","Hong Kong","IND","India",1460.548836,2018,239270.915695
"HKG","Hong Kong","IND","India",1460.548836,2018,239270.915695
"HKG","Hong Kong","IND","India",2250.07872,2019,250856.902919
"HKG","Hong Kong","IND","India",2250.07872,2019,250856.902919
"HKG","Hong Kong","IND","India",1568.292826,2020,283355.494495001
"HKG","Hong Kong","IND","India",1568.292826,2020,283355.494495001
"HKG","Hong Kong","IND","India",1903.284653,2021,348477.224363999
"HKG","Hong Kong","IND","India",1903.284653,2021,348477.224363999
"KOR","Rep. of Korea","HKG","Hong Kong",2065.328382,2017,224809.547288
"KOR","Rep. of Korea","HKG","Hong Kong",2065.328382,2017,224809.547288
"KOR","Rep. of Korea","HKG","Hong Kong",2374.993447,2018,239270.915695
"KOR","Rep. of Korea","HKG","Hong Kong",2374.993447,2018,239270.915695
"KOR","Rep. of Korea","HKG","Hong Kong",2110.201972,2019,250856.902919
"KOR","Rep. of Korea","HKG","Hong Kong",2110.201972,2019,250856.902919
"KOR","Rep. of Korea","HKG","Hong Kong",2394.313359,2020,283355.494495001
"KOR","Rep. of Korea","HKG","Hong Kong",2394.313359,2020,283355.494495001
"KOR","Rep. of Korea","HKG","Hong Kong",3008.331902,2021,348477.224363999
"KOR","Rep. of Korea","HKG","Hong Kong",3008.331902,2021,348477.224363999
"KOR","Rep. of Korea","HKG","Hong Kong",2738.8996,2022,383431.321529001
"KOR","Rep. of Korea","HKG","Hong Kong",2738.8996,2022,383431.321529001
"KOR","Rep. of Korea","HKG","Hong Kong",2154.992158,2023,363459.883593
"KOR","Rep. of Korea","HKG","Hong Kong",2154.992158,2023,363459.883593
"MYS","Malaysia","HKG","Hong Kong",4620.884434,2017,224809.547288
"MYS","Malaysia","HKG","Hong Kong",4620.884434,2017,224809.547288
"MYS","Malaysia","HKG","Hong Kong",9517.136038,2018,239270.915695
"MYS","Malaysia","HKG","Hong Kong",9517.136038,2018,239270.915695
"MYS","Malaysia","HKG","Hong Kong",8370.706679,2019,250856.902919
"MYS","Malaysia","HKG","Hong Kong",8370.706679,2019,250856.902919
"MYS","Malaysia","HKG","Hong Kong",7909.27748,2020,283355.494495001
"MYS","Malaysia","HKG","Hong Kong",7909.27748,2020,283355.494495001
"MYS","Malaysia","HKG","Hong Kong",6077.155748,2021,348477.224363999
"MYS","Malaysia","HKG","Hong Kong",6077.155748,2021,348477.224363999
"MYS","Malaysia","HKG","Hong Kong",7274.487885,2022,383431.321529001
"MYS","Malaysia","HKG","Hong Kong",7274.487885,2022,383431.321529001
"MYS","Malaysia","HKG","Hong Kong",5948.60386,2023,363459.883593
"MYS","Malaysia","HKG","Hong Kong",5948.60386,2023,363459.883593
"PHL","Philippines","HKG","Hong Kong",1572.227345,2017,224809.547288
"PHL","Philippines","HKG","Hong Kong",1572.227345,2017,224809.547288
"PHL","Philippines","HKG","Hong Kong",1414.750702,2018,239270.915695
"PHL","Philippines","HKG","Hong Kong",1414.750702,2018,239270.915695
"PHL","Philippines","HKG","Hong Kong",2073.860162,2019,250856.902919
"PHL","Philippines","HKG","Hong Kong",2073.860162,2019,250856.902919
"PHL","Philippines","HKG","Hong Kong",2551.631444,2020,283355.494495001
"PHL","Philippines","HKG","Hong Kong",2551.631444,2020,283355.494495001
"PHL","Philippines","HKG","Hong Kong",3033.712216,2021,348477.224363999
"PHL","Philippines","HKG","Hong Kong",3033.712216,2021,348477.224363999
"PHL","Philippines","HKG","Hong Kong",2897.537849,2022,383431.321529001
"PHL","Philippines","HKG","Hong Kong",2897.537849,2022,383431.321529001
"PHL","Philippines","HKG","Hong Kong",1928.554923,2023,363459.883593
"PHL","Philippines","HKG","Hong Kong",1928.554923,2023,363459.883593
"SGP","Singapore","HKG","Hong Kong",7978.221396,2017,224809.547288
"SGP","Singapore","HKG","Hong Kong",7978.221396,2017,224809.547288
"SGP","Singapore","HKG","Hong Kong",8003.114614,2018,239270.915695
"SGP","Singapore","HKG","Hong Kong",8003.114614,2018,239270.915695
"SGP","Singapore","HKG","Hong Kong",6786.172939,2019,250856.902919
"SGP","Singapore","HKG","Hong Kong",6786.172939,2019,250856.902919
"SGP","Singapore","HKG","Hong Kong",9385.846528,2020,283355.494495001
"SGP","Singapore","HKG","Hong Kong",9385.846528,2020,283355.494495001
"SGP","Singapore","HKG","Hong Kong",13659.9313,2021,348477.224363999
